title,url,text,embedding
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"{{Infobox international football competition
| tourney_name   = FIFA World Cup
| year           = 2014
| other_titles   = 
| image          = 2014 FIFA World Cup.svg
| size           = 
| caption        = <br />()
| country        = Brazil
| dates          = 12 June – 13 July
| confederations = 5
| num_teams      = 32
| venues         = 12
| cities         = 12
| champion       = Germany 
| count          = 4
| second         = Argentina
| third          = Netherlands
| fourth         = Brazil
| matches        = 64
| goals          = 171
| attendance     = 
| player         =  Lionel Messi
| top_scorer     =  James Rodríguez<br/>(6 goals)
| young_player   =  Paul Pogba
| goalkeeper     =  Manuel Neuer
| fair_play      = 
| prevseason     = 2010 FIFA World Cup|2010
| nextseason     = 2018 FIFA World Cup|2018
}}
The '''2014 FIFA World Cup''' was the 20th FIFA World Cup, the quadrennial world championship for list of men's national association football teams|men's national Association football|football teams organised by FIFA. It took place in Brazil from 12 June to 13 July 2014, after the country was awarded the hosting rights in 2007. It was the second time that Brazil staged the competition, the first being in 1950 FIFA World Cup|1950, and the fifth time that it was held in South America. Fans and pundits alike consider this edition of the World Cup to be one of the best ever held.

31 national teams advanced through 2014 FIFA World Cup qualification|qualification competitions to join the host nation in the final tournament (with Bosnia and Herzegovina national football team|Bosnia and Herzegovina as the only debutant). A total of 64 matches were played in 12 venues located in as many host cities across Brazil. For the first time at a World Cup finals, match officials used goal-line technology, as well as vanishing spray for Direct free kick|free kicks. FIFA Fan Fests in each host city gathered a total of 5&nbsp;million people, and the country received 1&nbsp;million visitors from 202 countries. Spain national football team|Spain, the defending champions, were eliminated at the group stage, along with England and Italy. Uruguay were eliminated in the round of 16, and France exited in the quarter-finals. Host nation Brazil, who had won the 2013 FIFA Confederations Cup, Brazil v Germany (2014 FIFA World Cup)|lost to Germany 7–1 in the semi-finals and eventually finished in fourth place.

In 2014 FIFA World Cup final|the final, Germany defeated Argentina 1–0 after extra time thanks to a Mario Götze half-volley in the 113th minute of the final to win the tournament and secure the country's fourth world title, the first after German reunification in 1990, when as West Germany they also beat Argentina by the same score in 90 minutes in the 1990 FIFA World Cup final|World Cup final. Germany became the first European team to win a World Cup staged in the Americas, and this result marked the third consecutive title won by a European team, after Italy in 2006 FIFA World Cup|2006 and Spain in 2010 FIFA World Cup|2010.","[-0.4568015   0.33314186 -0.4375766  ...  0.17777267 -0.32008272
 -0.15556067]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"==Host selection==

File:Joseph Blatter - World Cup 2014.jpg|thumb|Announcement of Brazil as hosts, 2007
In March 2003, FIFA announced that the tournament would be held in South America for the first time since 1978 FIFA World Cup|1978, in line with its policy at the time of rotating the right to host the World Cup among different confederations. With the 2010 FIFA World Cup hosted in South Africa, it would be the second consecutive World Cup outside Europe, which was a first for the tournament. It was also sixth time (second consecutive) in the Southern Hemisphere. Only Brazil and Colombia formally declared their candidacy but, after the withdrawal of the latter from the process, Brazil was officially elected as host nation unopposed on 30 October 2007.

==Participating teams and officials","[-0.609375   -0.00817871 -0.24707031 ...  0.328125   -0.20019531
 -0.08105469]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"=Qualification===


Following qualification matches played between June 2011 and November 2013, the following 32 teams – shown with their last pre-tournament FIFA World Rankings|FIFA world ranking – qualified for the final tournament. Twenty-four of these teams were returning participants from the 2010 FIFA World Cup|2010 World Cup. Bosnia and Herzegovina national football team|Bosnia and Herzegovina were the only team with no previous appearance at the World Cup finals. Colombia national football team|Colombia qualified for the World Cup after 1998 FIFA World Cup|16 years of absence, while Belgium national football team|Belgium and Russia national football team|Russia both returned after 2002 FIFA World Cup|12 years. Paraguay national football team|Paraguay failed to qualify for the first time since 1994. This was also the first World Cup for 32 years that did not feature a representative from the Nordic countries. Iran national football team|Iran, Costa Rica national football team|Costa Rica, Ecuador national football team|Ecuador, and Croatia national football team|Croatia returned to the tournament after missing the 2010 tournament. The highest ranked team not to qualify was Ukraine national football team|Ukraine (ranked 16th), while the lowest ranked team that did qualify was Australia national football team|Australia (ranked 62nd).<ref name=""Rankings""/>



;2014 FIFA World Cup qualification (AFC)|AFC (4)
*  (62)
*  (43)
*  (46)
*  (57)

;2014 FIFA World Cup qualification (CAF)|CAF (5)
*  (22)
*  (56)
*  (37)
*  (23)
*  (44)

;2014 FIFA World Cup qualification (OFC)|OFC (0)
* ''None qualified''

;2014 FIFA World Cup qualification (CONCACAF)|CONCACAF (4)
*  (28)
*  (33)
*  (20)
*  (13)

;2014 FIFA World Cup qualification (CONMEBOL)|CONMEBOL (6)
*  (5)
*  (3) (hosts)
*  (14)
*  (8)
*  (26)
*  (7)


;2014 FIFA World Cup qualification (UEFA)|UEFA (13)
*  (11)
*  (21)
*  (18)
*  (10)
*  (17)
*  (2)
*  (12)
*  (9)
*  (15)
*  (4)
*  (19)
*  (1)
*  (6)

File:2014 world cup qualification.svg|thumb|upright=1.8|
  


{| class=""wikitable collapsible collapsed""
|-
! colspan=""4""| Teams listed by FIFA ranking as of June 2014<ref name=""Rankings""/>
|-
! !! Country !! Confederation !! Rank
|-
| 1 ||  || UEFA || align=center | 1
|-
| 2 ||  || UEFA || align=center | 2
|-
| 3 ||  (host)|| CONMEBOL || align=center | 3
|-
| 4 ||  || UEFA || align=center | 4
|-
| 5 ||  || CONMEBOL || align=center | 5
|-
| 6 ||  || UEFA || align=center | 6
|-
| 7 ||  || CONMEBOL || align=center | 7
|-
| 8 ||  || CONMEBOL || align=center | 8
|-
| 9 ||  || UEFA || align=center | 9
|-
| 10 ||  || UEFA || align=center | 10
|-
| 11 ||  || UEFA || align=center | 11
|-
| 12 ||  || UEFA || align=center | 12
|-
| 13 ||  || CONCACAF || align=center | 13
|-
| 14 ||  || CONMEBOL || align=center | 14
|-
| 15 ||  || UEFA || align=center | 15
|-
| 16 || || UEFA || align=center | 17
|-","[-0.74031126  0.39506954 -0.27463704 ...  0.1967735  -0.5260211
 -0.4156004 ]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"| 17 ||  || UEFA || align=center | 18
|-
| 18 ||  || UEFA || align=center | 19
|-
| 19 || || CONCACAF || align=center | 20
|-
| 20 ||  || UEFA || align=center | 21
|-
| 21 ||  || CAF || align=center | 22
|-
| 22 ||  || CAF || align=center | 23
|-
| 23 ||  || CONMEBOL || align=center | 26
|-
| 24 ||  || CONCACAF || align=center | 28
|-
| 25 ||  || CONCACAF || align=center | 33
|-
| 26 ||  || CAF || align=center | 37
|-
| 27 ||  || AFC || align=center | 43
|-
| 28 ||  || CAF || align=center | 44
|-
| 29 ||  || AFC || align=center | 46
|-
| 30 ||  || CAF || align=center | 56
|-
| 31 ||  || AFC || align=center | 57
|-
| 32 ||  || AFC || align=center | 62
|}
As of 2022 FIFA World Cup|2022, this was the last time Chile, Ivory Coast, Greece, Italy, Honduras, and Algeria qualified for the World Cup finals, and the only time Bosnia and Herzegovina have qualified, and the last time Saudi Arabia, Morocco, Tunisia, Senegal, Denmark, Poland, and Serbia failed to qualify. This was also the most recent World Cup finals to feature every prior winning team.

===Final draw===

The 32 participating teams were drawn into eight groups. In preparation for this, the teams were organised into four pots with the seven FIFA World Rankings|highest-ranked teams joining host nation Brazil national football team|Brazil in the seeded pot. As with the previous tournaments, FIFA aimed to create groups which maximised geographic separation and therefore the unseeded teams were arranged into pots based on geographic considerations. The draw took place on 6 December 2013 at the Sauipe|Costa do Sauípe resort in Bahia, during which the teams were drawn by various past World Cup-winning players. Under the draw procedure, one randomly drawn team – Italy – was firstly relocated from Pot 4 to Pot 2 to create four equal pots of eight teams.

{|class=""wikitable"" 
|-
!width=25%|2014 FIFA World Cup Group A|Group A
!width=25%|2014 FIFA World Cup Group B|Group B
!width=25%|2014 FIFA World Cup Group C|Group C
!width=25%|2014 FIFA World Cup Group D|Group D
|-
|''''
|
|
|
|-
|
|
|
|
|-
|
|
|
|
|-
|
|
|
|
|-
!width=25%|2014 FIFA World Cup Group E|Group E
!width=25%|2014 FIFA World Cup Group F|Group F
!width=25%|2014 FIFA World Cup Group G|Group G
!width=25%|2014 FIFA World Cup Group H|Group H
|-
|
|
|
|
|-
|
|
|
|
|-
|
|
|
|
|-
|
|
|
|
|}

===Officials===","[-0.5655964   0.11441025 -0.21857136 ...  0.02712462 -0.07847752
 -0.18883383]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"In March 2013, FIFA published a list of 52 prospective referees, each paired, on the basis of nationality, with two Assistant referee (association football)|assistant referees, from all six football confederations for the tournament. On 14 January 2014, the FIFA Referees Committee appointed 25 referee trios and eight support duos representing 43 countries for the tournament.
Yuichi Nishimura from Japan Football Association|Japan acted as referee in the opening match whereas Nicola Rizzoli from Italian Football Federation|Italy acted as referee in the final.

{| class=""wikitable collapsible collapsed""
|-
!colspan=""5""|List of officials
|-
!Confederation
!Referee
!colspan=2|Assistants
!Support (referee/assist)
|-
|rowspan=""4""|Asian Football Confederation|AFC
|Ravshan Irmatov (Uzbekistan Football Federation|Uzbekistan)
|style=""border-right:1px solid #f9f9f9;""|Abdukhamidullo Rasulov (Uzbekistan Football Federation|Uzbekistan)||Bakhadyr Kochkarov (Football Federation of Kyrgyz Republic|Kyrgyzstan)
|rowspan=4|Alireza Faghani (Football Federation Islamic Republic of Iran|Iran) / Hassan Kamranifar (Football Federation Islamic Republic of Iran|Iran)
|-
|Yuichi Nishimura (Japan Football Association|Japan)
|style=""border-right:1px solid #f9f9f9;""|Toru Sagara (Japan Football Association|Japan)||Toshiyuki Nagi (Japan Football Association|Japan)
|-
|Nawaf Shukralla (Bahrain Football Association|Bahrain)
|style=""border-right:1px solid #f9f9f9;""|Yaser Tulefat (Bahrain Football Association|Bahrain)||Ebrahim Saleh (Bahrain Football Association|Bahrain)
|-
|Ben Williams (referee)|Ben Williams (Football Federation Australia|Australia)
|style=""border-right:1px solid #f9f9f9;""|Matthew Cream (Football Federation Australia|Australia)||Hakan Anaz (Football Federation Australia|Australia)
|-
|rowspan=""3""|Confederation of African Football|CAF
|Noumandiez Doué (Ivorian Football Federation|Ivory Coast)
|style=""border-right:1px solid #f9f9f9;""|Songuifolo Yeo (Ivorian Football Federation|Ivory Coast)||Jean-Claude Birumushahu (Football Federation of Burundi|Burundi)
|rowspan=3|Néant Alioum (Cameroonian Football Federation|Cameroon) / Djibril Camara (Senegalese Football Federation|Senegal)<br />
|-
|Bakary Gassama (Gambia Football Association|Gambia)
|style=""border-right:1px solid #f9f9f9;""|Evarist Menkouande (Cameroonian Football Federation|Cameroon)||Félicien Kabanda (Rwandese Association Football Federation|Rwanda)
|-
|Djamel Haimoudi (Algerian Football Federation|Algeria)
|style=""border-right:1px solid #f9f9f9;""|Redouane Achik (Royal Moroccan Football Federation|Morocco)||Abdelhak Etchiali (Algerian Football Federation|Algeria)
|-
|rowspan=""3""|CONCACAF
|Joel Aguilar (Salvadoran Football Association|El Salvador)
|style=""border-right:1px solid #f9f9f9;""|William Torres (Salvadoran Football Association|El Salvador)||Juan Zumba (Salvadoran Football Association|El Salvador)
|rowspan=3|Roberto Moreno (referee)|Roberto Moreno (Panamanian Football Federation|Panama) / Eric Boria (United States Soccer Federation|United States)<br />Walter López Castellanos|Walter López (National Football Federation of Guatemala|Guatemala) / Leonel Leal (Costa Rican Football Federation|Costa Rica)
|-
|Mark Geiger (United States Soccer Federation|United States)
|style=""border-right:1px solid #f9f9f9;""|Mark Hurd (United States Soccer Federation|United States)||Joe Fletcher (referee)|Joe Fletcher (Canadian Soccer Association|Canada)
|-
|Marco Antonio Rodríguez|Marco Rodríguez (Mexican Football Federation|Mexico)
|style=""border-right:1px solid #f9f9f9;""|Marvin Torrentera (Mexican Football Federation|Mexico)||Marcos Quintero (Mexican Football Federation|Mexico)
|-
|rowspan=""5""|CONMEBOL
|Néstor Pitana (Argentine Football Association|Argentina)
|style=""border-right:1px solid #f9f9f9;""|Hernán Maidana (Argentine Football Association|Argentina)||Juan Pablo Belatti (Argentine Football Association|Argentina)
|rowspan=5|Víctor Hugo Carrillo (Peruvian Football Federation|Peru) / Rodney Aquino (Paraguayan Football Association|Paraguay)
|-
|Sandro Ricci (Brazilian Football Confederation|Brazil)
|style=""border-right:1px solid #f9f9f9;""|Emerson De Carvalho (Brazilian Football Confederation|Brazil)||Marcelo Van Gasse (Brazilian Football Confederation|Brazil)
|-
|Enrique Osses (Football Federation of Chile|Chile)
|style=""border-right:1px solid #f9f9f9;""|Carlos Astroza (Football Federation of Chile|Chile)||Sergio Román (Football Federation of Chile|Chile)
|-
|Wilmar Roldán (Colombian Football Federation|Colombia)
|style=""border-right:1px solid #f9f9f9;""|Humberto Clavijo (Colombian Football Federation|Colombia)||Eduardo Díaz (Colombian Football Federation|Colombia)
|-
|Carlos Vera (Ecuadorian Football Federation|Ecuador)
|style=""border-right:1px solid #f9f9f9;""|Christian Lescano (Ecuadorian Football Federation|Ecuador)||Byron Romero (Ecuadorian Football Federation|Ecuador)
|-
||Oceania Football Confederation|OFC
|Peter O'Leary (referee)|Peter O'Leary (New Zealand Football|New Zealand)
|style=""border-right:1px solid #f9f9f9;""|Jan Hendrik Hintz (New Zealand Football|New Zealand)||Mark Rule (New Zealand Football|New Zealand)
|Norbert Hauata (Tahitian Football Federation|Tahiti) / Aden Marwa (Football Kenya Federation|Kenya)
|-
|rowspan=""9""|UEFA","[-1.0067949   0.6346617   0.01227131 ...  0.23802412  0.3792181
  0.00277992]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"|Felix Brych (German Football Association|Germany)
|style=""border-right:1px solid #f9f9f9;""|Mark Borsch (German Football Association|Germany)||Stefan Lupp (German Football Association|Germany)
|rowspan=9|Svein Oddvar Moen (Football Association of Norway|Norway) / Kim Haglund (Football Association of Norway|Norway)
|-
|Cüneyt Çakır (Turkish Football Federation|Turkey)
|style=""border-right:1px solid #f9f9f9;""|Bahattin Duran (Turkish Football Federation|Turkey)||Tarık Ongun (Turkish Football Federation|Turkey)
|-
|Jonas Eriksson (referee)|Jonas Eriksson (Swedish Football Association|Sweden)
|style=""border-right:1px solid #f9f9f9;""|Mathias Klasenius (Swedish Football Association|Sweden)||Daniel Wärnmark (Swedish Football Association|Sweden)
|-
|Björn Kuipers (Royal Dutch Football Association|Netherlands)
|style=""border-right:1px solid #f9f9f9;""|Sander van Roekel (Royal Dutch Football Association|Netherlands)||Erwin Zeinstra (Royal Dutch Football Association|Netherlands)
|-
|Milorad Mažić (Football Association of Serbia|Serbia)
|style=""border-right:1px solid #f9f9f9;""|Milovan Ristić (Football Association of Serbia|Serbia)||Dalibor Đurđević (Football Association of Serbia|Serbia)
|-
|Pedro Proença (Portuguese Football Federation|Portugal)
|style=""border-right:1px solid #f9f9f9;""|Bertino Miranda (Portuguese Football Federation|Portugal)||Tiago Trigo (Portuguese Football Federation|Portugal)
|-
|Nicola Rizzoli (Italian Football Federation|Italy)
|style=""border-right:1px solid #f9f9f9;""|Renato Faverani (Italian Football Federation|Italy)||Andrea Stefani (Italian Football Federation|Italy)
|-
|Carlos Velasco Carballo (Royal Spanish Football Federation|Spain)
|style=""border-right:1px solid #f9f9f9;""|Roberto Alonso Fernández (Royal Spanish Football Federation|Spain)||Juan Carlos Yuste Jiménez (Royal Spanish Football Federation|Spain)
|-
|Howard Webb (The Football Association|England)
|style=""border-right:1px solid #f9f9f9;""|Michael Mullarkey (The Football Association|England)||Darren Cann (The Football Association|England)
|}

===Squads===


As with the 2010 FIFA World Cup squads|2010 tournament, each team's squad consisted of 23 players (three of whom must be goalkeepers). Each participating national association had to confirm their final 23-player squad no later than 10 days before the start of the tournament. Teams were permitted to make late replacements in the event of serious injury, at any time up to 24 hours before their first game.<ref name=""regulations""/> During a match, all remaining squad members not named in the starting team were available to be one of the three permitted substitutions (provided the player was not serving a suspension).<ref name=""regulations""/>

==Venues==


12 venues (seven new and five renovated) in twelve cities were selected for the tournament. The venues covered all the main regions of Brazil and created more evenly distributed hosting than the 1950 FIFA World Cup|1950 finals in Brazil. Consequently, the tournament required long-distance travel for teams. During the World Cup, Brazilian cities were also home to the participating teams at 2014 FIFA World Cup venues#Team base camps|32 separate base camps, as well as staging FIFA Fan Fest#2014|official fan fests where supporters could view the games.

The most used stadiums were the Maracanã and Brasilia, which hosted seven matches each. The least-used venues were in Cuiabá, Manaus, Natal, and Curitiba, which hosted four matches each; as the four smallest stadiums in use at the tournament, they did not host any knockout round matches.<ref name=""fifa_venues""/>

{| class=""wikitable"" style=""text-align:center""
|-
!Rio de Janeiro
!Brasília
!São Paulo
!Fortaleza
|-
|Maracanã Stadium|Estádio do Maracanã
|Estádio Nacional Mané Garrincha|Estádio Nacional
|Arena Corinthians <br />''''''
|Castelão (Ceará)|Estádio Castelão
|-
|Seating capacity|Capacity: '''74,738'''
|Capacity: '''69,432'''<ref name=""fifa_venues""/>
|Capacity: '''63,321'''<ref name=""fifa_venues""/>
|Capacity: '''60,348'''<ref name=""fifa_venues""/>
|-
|File:Maracana 2022.jpg|200x200px
|File:Brasilia aerea estadio nacional.jpg|200x200px
|File:Arena Corinthians Pitch.jpg|200x200px
|File:Fortaleza Arena on March 2014..jpg|200x200px
|-
!Belo Horizonte 
!rowspan=""8"" colspan=""2""|{{location map+|float=center|Brazil|width=420|caption=Location of the host cities of the 2014 FIFA World Cup.|places=












}}
!Salvador, Bahia|Salvador
|-
|Mineirão|Estádio Mineirão","[-0.81298244  0.6394578  -0.09885147 ...  0.16036558 -0.01739526
  0.10029257]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"|Arena Fonte Nova
|-
|Capacity: '''58,259'''<ref name=""fifa_venues""/>
|Capacity: '''51,708'''<ref name=""fifa_venues""/>
|-
|File:Mineirão_(Top_View).jpg|200px
|File:Aerea Fontenova.jpg|200px
|-
!Porto Alegre
!Recife
|-
|Estádio Beira-Rio
|Arena Pernambuco
|-
|Capacity: '''43,394'''<ref name=""fifa_venues""/>
|Capacity: '''42,583'''<ref name=""fifa_venues""/>
|-
|File:Vista_Aérea_Beira-Rio.jpg|200px
|File:Arena Pernambuco Recife.jpg|200x200px
|-
!Cuiabá
!Manaus
!Natal, Rio Grande do Norte|Natal
!Curitiba
|-
|Arena Pantanal
|Arena da Amazônia
|Arena das Dunas
|Arena da Baixada
|-
|Capacity: '''41,112'''<ref name=""fifa_venues""/>
|Capacity: '''40,549'''<ref name=""fifa_venues""/>
|Capacity: '''39,971'''<ref name=""fifa_venues""/>
|Capacity: '''39,631'''<ref name=""fifa_venues""/>
|-
|File:Cuiaba Arena.jpg|200px
|File:Arena da Amazônia (Aerial View).jpg|200px
|File:Natal, Brazil - Arena das Dunas.jpg|200x200px
|File:Arena Baixada.jpg|200x200px
|}

===Team base camps===
Base camps were used by the 32 national squads to stay and train before and during the World Cup tournament. On 31 January 2014, FIFA announced the base camps for each participating team, Most teams opted to stay in the Southeast Region, Brazil|Southeast Region of Brazil, with only eight teams choosing other regions; five teams (Croatia, Germany, Ghana, Greece and Switzerland) opted to stay in the Northeast Region, Brazil|Northeast Region and three teams (Ecuador, South Korea and Spain) opted to stay in the South Region, Brazil|South Region. None opted to stay in the North Region, Brazil|North Region or the Central-West Region, Brazil|Central-West Region. Campo Bahia, the base camp of the eventual champion Germany, attracted much interest.

{| class=""wikitable collapsible collapsed""
|-
!colspan=""2""| National squads' base camps
|-
<td>
{| class=""wikitable""
! Team
! City
|-
| Algeria
| Sorocaba, São Paulo (state)|SP
|-
| Argentina
| Vespasiano, Minas Gerais|MG
|-
| Australia
| Vitória, Espírito Santo|Vitória, Espírito Santo|ES
|-
| Belgium
| Mogi das Cruzes, São Paulo (state)|SP
|-
| Bosnia and Herzegovina
| Guarujá, São Paulo (state)|SP
|-
| Brazil
| Teresópolis, Rio de Janeiro (state)|RJ
|-
| Cameroon
| Vitória, Espírito Santo|Vitória, Espírito Santo|ES
|-
| Chile
| Belo Horizonte, Minas Gerais|MG
|-
| Colombia
| Cotia, São Paulo (state)|SP
|-
| Costa Rica
| Santos, São Paulo|Santos, São Paulo (state)|SP
|-
| Croatia
| Mata de São João, Bahia|BA
|-
| Ecuador
| Viamão, Rio Grande do Sul|RS
|-
| England
| Rio de Janeiro, Rio de Janeiro (state)|RJ
|-
| France
| Ribeirão Preto, São Paulo (state)|SP
|-
| Germany
| Campo Bahia, BA
|-
| Ghana
| Maceió, Alagoas|AL
|}
<td>
{| class=""wikitable""
! Team
! City
|-
| Greece
| Aracaju, Sergipe|SE
|-
| Honduras
| Porto Feliz, São Paulo (state)|SP
|-
| Iran
| Guarulhos, São Paulo (state)|SP
|-
| Italy
| Mangaratiba, Rio de Janeiro (state)|RJ
|-
| Ivory Coast
| Águas de Lindoia, São Paulo (state)|SP
|-
| Japan
| Itu (Brazil)|Itu, São Paulo (state)|SP
|-
| South Korea
| Foz do Iguaçu, Paraná (state)|PR
|-
| Mexico
| Santos, São Paulo|Santos, São Paulo (state)|SP
|-
| Netherlands
| Rio de Janeiro, Rio de Janeiro (state)|RJ
|-
| Nigeria
| Campinas, São Paulo (state)|SP
|-
| Portugal
| Campinas, São Paulo (state)|SP
|-
| Russia
| Itu (Brazil)|Itu, São Paulo (state)|SP
|-
| Spain
| Curitiba, Paraná (state)|PR
|-
| Switzerland
| Porto Seguro, Bahia|BA
|-
| United States","[-0.6317789   0.5971596  -0.36552635 ... -0.10050204 -0.423459
 -0.24741493]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"| São Paulo, São Paulo (state)|SP
|-
| Uruguay
| Sete Lagoas, Minas Gerais|MG
|}
|}

===FIFA Fan Fests===
File:Fan fest Brasília.jpg|thumb|Brazilian fans at the FIFA Fan Fest in Brasília
For a third consecutive World Cup tournament, FIFA staged FIFA Fan Fests in each of the 12 host cities throughout the competition. Prominent examples were the Copacabana Beach in Rio de Janeiro, which already held a Fan Fest in 2010, and São Paulo's Vale do Anhangabaú. The first official event took place on Praia de Iracema|Iracema Beach, in Fortaleza, on 8 June 2014.

==Innovations","[-0.43164062  0.34570312 -0.23339844 ...  0.29882812 -0.03417969
 -0.20019531]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"=Technologies===
File:Brazil and Colombia match at the FIFA World Cup 2014-07-04 (15) (cropped).jpg|thumb|Adidas Brazuca
In order to avoid ghost goals, the 2014 World Cup introduced goal-line technology following successful trials at, among other competitions, the 2013 FIFA Confederations Cup|2013 Confederations Cup. The chosen GoalControl|Goal Control system featured 14 high speed cameras, 7 directed to each of the goals. Data were sent to the central image-processing centre, where a virtual representation of the ball was output on a widescreen to confirm the goal. The referee was equipped with a watch which vibrated and displayed a signal upon a goal. France's second goal in their 2014 FIFA World Cup Group E#France vs Honduras|group game against Honduras was the first time goal-line technology was needed to confirm that a goal should be given.

Following successful trials, FIFA approved the use of vanishing spray by the referees for the first time at a World Cup Finals. The water-based spray, which disappears within minutes of application, can be used to mark a ten-yard line for the defending team during a Direct free kick|free kick and also to draw where the ball is to be placed for a free kick.

The Adidas Brazuca was the official Football (association football)|match ball of the 2014 FIFA World Cup and was supplied by Forward Sports of Sialkot, Pakistan.<ref name=""forbes""/> Adidas created a new design of ball after criticisms of the Adidas Jabulani used in the 2010 FIFA World Cup|previous World Cup. The number of panels was reduced to six, with the panels being thermally bonded. This created a ball with increased consistency and aerodynamics compared to its predecessor. Furthermore, Adidas underwent an extensive testing process lasting more than two years to produce a ball that would meet the approval of football professionals.

===Cooling breaks===
Due to the relatively high ambient temperatures in Brazil, particularly at the northern venues, cooling breaks for the players were introduced. Breaks could take place at the referee's discretion after the 30th minute of each half if the Wet Bulb Globe Temperature exceeded ; the breaks would last 3 minutes, with this time made up by an extended period of stoppage time at the end of the half.

The first cooling break in a World Cup play took place during the 32nd minute of the 2014 FIFA World Cup knockout stage#Netherlands vs Mexico|match between the Netherlands and Mexico in the round of 16. At the start of the match, FIFA listed the temperature at  with 68% humidity.

===Anti-doping===
The biological passport was introduced in the FIFA World Cup starting in 2014. Blood and urine samples collected from all players before the competition, and from two players per team per match, were analysed by the Swiss Laboratory for Doping Analyses. FIFA reported that 91.5% of the players taking part in the tournament were tested before the start of the competition and none tested positive. However, FIFA was criticised for how it conducted doping tests.

==Format==","[-0.10559028  0.05782594 -0.10220163 ...  0.17549154 -0.02825597
 -0.00642272]"
2014 FIFA World Cup,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup,"The first round, or group stage, was a competition between the 32 teams divided among eight groups of four, where each group engaged in a round-robin tournament within itself. The two highest ranked teams in each group advanced to the knockout stage.<ref name=""regulations""/> Teams were awarded three points for a win and one for a draw. When comparing teams in a group over-all result came before head-to-head.

{| class=""wikitable collapsible collapsed""
|-
! Tie-breaking criteria for group play
|-
|The ranking of teams in each group was based on the following criteria:
# Number of points
# Goal difference
# Number of goals scored
# Number of points obtained in matches between tied teams
# Goal difference in matches between tied teams
# Number of goals scored in matches between tied teams
# Drawing of lots
|}
In the single-elimination tournament|knockout stage there were four rounds (round of 16, quarter-finals, semi-finals, and the final), with each eliminating the losers. The two semi-final losers competed in a third place play-off. For any match in the knockout stage, a draw after 90 minutes of regulation time was followed by two 15 minute periods of Overtime (association football)|extra time to determine a winner. If the teams were still tied, a Penalty shoot-out (association football)|penalty shoot-out was held to determine a winner.<ref name=""regulations""/>

The match schedule was announced on 20 October 2011 with the kick-off times being confirmed on 27 September 2012; after the final draw, the kick-off times of seven matches were adjusted by FIFA. The competition was organised so that teams that played each other in the group stage could not meet again during the knockout phase until the final (or the 3rd place match).<ref name=""regulations""/>
The group stage began on 12 June, with the host nation competing in the opening game as has been the format since the 2006 tournament. The opening game was preceded by an 2014 FIFA World Cup opening ceremony|opening ceremony that began at 15:15 local time.

==Opening ceremony==
File:The opening ceremony of the FIFA World Cup 2014 10.jpg|thumb|left|From left to right: Claudia Leitte, Pitbull (rapper)|Pitbull, and Jennifer Lopez performing at the opening ceremony at the Arena Corinthians|Arena de São Paulo, São Paulo.

On 12 June 2014, the 20th edition of the FIFA World Cup began with the opening ceremony at Arena Corinthians|Arena de São Paulo, São Paulo, Brazil. The event saw 660 dancers take to the stadium and perform in a ceremony which celebrated the nature of the country and its love of football. Following the dancers native singer Claudia Leitte emerged on centre stage to perform for the crowd. She was later joined by Cuban-American rapper Pitbull (rapper)|Pitbull, and American singer Jennifer Lopez to perform the tournament's official song ""We Are One (Ole Ola)"" which had been released as an official single on 8 April 2014. Following the ceremony, the opening match was played, which saw the hosts come from behind to beat Croatia 3–1.

==Group stage==","[-0.7826185   0.4284429  -0.14414197 ...  0.03113147  0.08240841
  0.01889682]"
